BİLGİ ROTASI – KATEGORİYE GİYDİRİLMİŞ MATEMATİK SORULARI
======================================================================================

Toplam soru bankası: 53063
Matematik problemi olarak elenecek: 16243

KATEGORİLERE GÖRE
--------------------------------------------------------------------------------------
Eğlence: 3993
Spor: 3924
Bilim & Doğa: 3391
Coğrafya: 2851
Sanat & Edebiyat: 1822
Tarih: 262

ELENECEK SORULAR
--------------------------------------------------------------------------------------
ID	KATEGORİ	TESPİT	SORU
q27145	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 12/8 ölçülü 6 ölçülük bölüm yaklaşık kaç saniye sürer?
q27146	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta tek 1 ve çift 12 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27148	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	50 metrelik uzun kulvar havuzunda 4000 metre yüzmek kaç havuz boyuna karşılık gelir?
q27150	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 5 beraberlik ve 5 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27153	Bilim & Doğa	sayısal seçenekler	72 volt gerilim 3 ohmluk dirence uygulanırsa akım kaç amper olur?
q27155	Spor	sayısal seçenekler	Bir futbol takımının attığı gol 20, yediği gol 40 ise gol averajı kaçtır?
q27156	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 4/4 ölçülü 9 ölçülük bölüm yaklaşık kaç saniye sürer?
q27157	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 7 beraberlik ve 0 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27162	Sanat & Edebiyat	aritmetik/ölçü kalıbı: orani nedir; sayısal seçenekler; birden fazla sayı ve ölçü birimi	60 cm genişliğinde ve 25 cm yüksekliğindeki bir tuvalin sadeleştirilmiş en-boy oranı nedir?
q27163	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 5 iki sayılık, 13 üç sayılık ve 10 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27166	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 4 beraberlik ve 7 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27171	Spor	sayısal seçenekler	Bir futbol takımının attığı gol 50, yediği gol 60 ise gol averajı kaçtır?
q27173	Coğrafya	işlem işareti	ISO 3166-1 standardında Avustralya için kullanılan iki harfli ülke kodu hangisidir?
q27174	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 3 dizeden oluşan 9 adet haiku toplam kaç dize içerir?
q27175	Bilim & Doğa	aritmetik/ölçü kalıbı: kac metre; sayısal seçenekler	Hızı 240 m/s ve frekansı 15 Hz olan dalganın dalga boyu kaç metredir?
q27177	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 90 dörtlük vuruş hızında 6/8 ölçülü 15 ölçülük bölüm yaklaşık kaç saniye sürer?
q27178	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta üçlü 1 ve üçlü 20 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27179	Spor	sayısal seçenekler	Bir futbol takımı 2 galibiyet, 8 beraberlik ve 2 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27180	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 5/4 ölçülü 11 ölçülük bölüm yaklaşık kaç saniye sürer?
q27185	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 5 dizeden oluşan 5 adet limerick toplam kaç dize içerir?
q27187	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 5/4 ölçülü 14 ölçülük bölüm yaklaşık kaç saniye sürer?
q27189	Eğlence	sayısal seçenekler	19 tam nota süresi eşit olarak 2'lik nota değerlerine bölünürse kaç nota elde edilir?
q27191	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 5 iki sayılık, 12 üç sayılık ve 8 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27195	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 39 dizeden oluşan 21 adet sestina toplam kaç dize içerir?
q27196	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 108 dörtlük vuruş hızında 9/8 ölçülü 15 ölçülük bölüm yaklaşık kaç saniye sürer?
q27198	Bilim & Doğa	sayısal seçenekler	Atom numarası 43 olan 1- yüklü iyon kaç elektrona sahiptir?
q27199	Bilim & Doğa	sayısal seçenekler	Atom numarası 14, kütle numarası 40 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27201	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 60 dörtlük vuruş hızında 9/8 ölçülü 3 ölçülük bölüm yaklaşık kaç saniye sürer?
q27202	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 144 dörtlük vuruş hızında 4/4 ölçülü 15 ölçülük bölüm yaklaşık kaç saniye sürer?
q27205	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 6 beraberlik ve 3 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27206	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 150 dörtlük vuruş hızında 4/4 ölçülü 13 ölçülük bölüm yaklaşık kaç saniye sürer?
q27207	Spor	sayısal seçenekler	Bir futbol takımının attığı gol 70, yediği gol 15 ise gol averajı kaçtır?
q27208	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta çift 2 ve üçlü 13 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27213	Bilim & Doğa	aritmetik/ölçü kalıbı: kac tane; sayısal seçenekler	Çift sarmallı bir DNA parçasında toplam 600 bazın 270 tanesi adenin ise sitozin bazı kaç tanedir?
q27214	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	250 metrelik velodromda 2000 metre yarışan bisikletçi kaç tur tamamlar?
q27215	Bilim & Doğa	sayısal seçenekler	Direnci 3 ohm olan bir iletkenden 2 amper akım geçerse uçlarındaki gerilim kaç volttur?
q27217	Bilim & Doğa	sayısal seçenekler	Atom numarası 46, kütle numarası 100 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27221	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	250 metrelik velodromda 18500 metre yarışan bisikletçi kaç tur tamamlar?
q27223	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 3/4 ölçülü 14 ölçülük bölüm yaklaşık kaç saniye sürer?
q27224	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 6/8 ölçülü 3 ölçülük bölüm yaklaşık kaç saniye sürer?
q27225	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta çift 2 ve tek 1 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27226	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında Samoa hangi kodla gösterilir?
q27228	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında Tanzanya hangi kodla gösterilir?
q27229	Bilim & Doğa	sayısal seçenekler	230 volt gerilim altında 5 amper çeken bir aygıtın elektrik gücü kaç wattır?
q27230	Bilim & Doğa	sayısal seçenekler	Atom numarası 37, kütle numarası 86 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27231	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 5 iki sayılık, 0 üç sayılık ve 4 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27232	Eğlence	sayısal seçenekler	52 kartlık standart desteden 4 oyuncuya kişi başı 5 kart dağıtılırsa destede kaç kart kalır?
q27235	Bilim & Doğa	sayısal seçenekler	Direnci 6 ohm olan bir iletkenden 1.5 amper akım geçerse uçlarındaki gerilim kaç volttur?
q27237	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 160 dörtlük vuruş hızında 2/4 ölçülü 16 ölçülük bölüm yaklaşık kaç saniye sürer?
q27238	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	250 metrelik velodromda 22250 metre yarışan bisikletçi kaç tur tamamlar?
q27239	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında Gambiya hangi kodla gösterilir?
q27241	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 6/8 ölçülü 15 ölçülük bölüm yaklaşık kaç saniye sürer?
q27249	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 144 dörtlük vuruş hızında 9/8 ölçülü 10 ölçülük bölüm yaklaşık kaç saniye sürer?
q27251	Bilim & Doğa	aritmetik/ölçü kalıbı: kac tane; sayısal seçenekler	Çift sarmallı bir DNA parçasında toplam 1000 bazın 460 tanesi adenin ise sitozin bazı kaç tanedir?
q27252	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 160 dörtlük vuruş hızında 4/4 ölçülü 8 ölçülük bölüm yaklaşık kaç saniye sürer?
q27254	Spor	sayısal seçenekler	Bir futbol takımının attığı gol 10, yediği gol 30 ise gol averajı kaçtır?
q27256	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 4 dizeden oluşan 6 adet rubai toplam kaç dize içerir?
q27257	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında Sudan hangi kodla gösterilir?
q27258	Spor	sayısal seçenekler	Bir futbol takımı 2 galibiyet, 8 beraberlik ve 1 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27259	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 5 iki sayılık, 2 üç sayılık ve 5 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27264	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 5/4 ölçülü 7 ölçülük bölüm yaklaşık kaç saniye sürer?
q27267	Coğrafya	işlem işareti	ISO 3166-1 standardında Barbados için kullanılan iki harfli ülke kodu hangisidir?
q27268	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	50 metrelik uzun kulvar havuzunda 500 metre yüzmek kaç havuz boyuna karşılık gelir?
q27270	Bilim & Doğa	sayısal seçenekler	Atom numarası 72, kütle numarası 144 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27275	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 100 dörtlük vuruş hızında 3/4 ölçülü 4 ölçülük bölüm yaklaşık kaç saniye sürer?
q27276	Bilim & Doğa	sayısal seçenekler	Atom numarası 64 olan 3- yüklü iyon kaç elektrona sahiptir?
q27281	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 96 dörtlük vuruş hızında 4/4 ölçülü 2 ölçülük bölüm yaklaşık kaç saniye sürer?
q27283	Sanat & Edebiyat	aritmetik/ölçü kalıbı: orani nedir; sayısal seçenekler; birden fazla sayı ve ölçü birimi	30 cm genişliğinde ve 70 cm yüksekliğindeki bir tuvalin sadeleştirilmiş en-boy oranı nedir?
q27285	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 96 dörtlük vuruş hızında 6/8 ölçülü 2 ölçülük bölüm yaklaşık kaç saniye sürer?
q27287	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 4/4 ölçülü 14 ölçülük bölüm yaklaşık kaç saniye sürer?
q27288	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 90 dörtlük vuruş hızında 3/4 ölçülü 4 ölçülük bölüm yaklaşık kaç saniye sürer?
q27289	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 6/8 ölçülü 11 ölçülük bölüm yaklaşık kaç saniye sürer?
q27290	Sanat & Edebiyat	aritmetik/ölçü kalıbı: orani nedir; sayısal seçenekler; birden fazla sayı ve ölçü birimi	40 cm genişliğinde ve 55 cm yüksekliğindeki bir tuvalin sadeleştirilmiş en-boy oranı nedir?
q27291	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta tek 2 ve tek 12 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27292	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 5 iki sayılık, 2 üç sayılık ve 8 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27293	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 144 dörtlük vuruş hızında 9/8 ölçülü 6 ölçülük bölüm yaklaşık kaç saniye sürer?
q27295	Bilim & Doğa	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	C12H22O11 formül biriminde toplam kaç atom bulunur?
q27296	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 96 dörtlük vuruş hızında 3/4 ölçülü 10 ölçülük bölüm yaklaşık kaç saniye sürer?
q27299	Bilim & Doğa	sayısal seçenekler	Direnci 25 ohm olan bir iletkenden 3 amper akım geçerse uçlarındaki gerilim kaç volttur?
q27304	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 6 iki sayılık, 8 üç sayılık ve 0 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27305	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta çift 2 ve çift 8 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27307	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 4 beraberlik ve 6 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27308	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	50 metrelik uzun kulvar havuzunda 600 metre yüzmek kaç havuz boyuna karşılık gelir?
q27310	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 14 dizeden oluşan 22 adet sone toplam kaç dize içerir?
q27311	Bilim & Doğa	sayısal seçenekler	Atom numarası 33 olan 1- yüklü iyon kaç elektrona sahiptir?
q27314	Coğrafya	işlem işareti	Tonga ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27315	Spor	sayısal seçenekler	Bir futbol takımının attığı gol 30, yediği gol 20 ise gol averajı kaçtır?
q27319	Sanat & Edebiyat	aritmetik/ölçü kalıbı: orani nedir; sayısal seçenekler; birden fazla sayı ve ölçü birimi	50 cm genişliğinde ve 65 cm yüksekliğindeki bir tuvalin sadeleştirilmiş en-boy oranı nedir?
q27320	Bilim & Doğa	sayısal seçenekler	Atom numarası 33, kütle numarası 71 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27321	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 60 dörtlük vuruş hızında 4/4 ölçülü 13 ölçülük bölüm yaklaşık kaç saniye sürer?
q27323	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 5 dizeden oluşan 20 adet tanka toplam kaç dize içerir?
q27324	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 2/4 ölçülü 5 ölçülük bölüm yaklaşık kaç saniye sürer?
q27326	Bilim & Doğa	aritmetik/ölçü kalıbı: kac tane; sayısal seçenekler	Çift sarmallı bir DNA parçasında toplam 1000 bazın 80 tanesi adenin ise sitozin bazı kaç tanedir?
q27327	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	50 metrelik uzun kulvar havuzunda 2700 metre yüzmek kaç havuz boyuna karşılık gelir?
q27330	Coğrafya	işlem işareti	ISO 3166-1 standardında Avusturya için kullanılan iki harfli ülke kodu hangisidir?
q27333	Coğrafya	işlem işareti	Kosta Rika ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27337	Bilim & Doğa	sayısal seçenekler	Atom numarası 81, kütle numarası 162 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27340	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 2/4 ölçülü 11 ölçülük bölüm yaklaşık kaç saniye sürer?
q27341	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 6/8 ölçülü 6 ölçülük bölüm yaklaşık kaç saniye sürer?
q27347	Coğrafya	işlem işareti	Bangladeş ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27348	Spor	sayısal seçenekler	Bir futbol takımının attığı gol 70, yediği gol 25 ise gol averajı kaçtır?
q27349	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 160 dörtlük vuruş hızında 2/4 ölçülü 3 ölçülük bölüm yaklaşık kaç saniye sürer?
q27351	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 6 iki sayılık, 0 üç sayılık ve 11 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27352	Coğrafya	işlem işareti	Tacikistan ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27353	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 12/8 ölçülü 12 ölçülük bölüm yaklaşık kaç saniye sürer?
q27358	Bilim & Doğa	sayısal seçenekler	Atom numarası 86, kütle numarası 172 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27361	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 60 dörtlük vuruş hızında 12/8 ölçülü 10 ölçülük bölüm yaklaşık kaç saniye sürer?
q27362	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 39 dizeden oluşan 8 adet sestina toplam kaç dize içerir?
q27364	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 4 beraberlik ve 5 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27365	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 5 iki sayılık, 9 üç sayılık ve 4 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27367	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 6 iki sayılık, 1 üç sayılık ve 11 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27369	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 6 iki sayılık, 0 üç sayılık ve 3 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27372	Spor	sayısal seçenekler	Bir futbol takımı 0 galibiyet, 4 beraberlik ve 4 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27373	Spor	sayısal seçenekler; birden fazla sayı ve ölçü birimi	50 metrelik uzun kulvar havuzunda 100 metre yüzmek kaç havuz boyuna karşılık gelir?
q27374	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 60 dörtlük vuruş hızında 2/4 ölçülü 6 ölçülük bölüm yaklaşık kaç saniye sürer?
q27376	Bilim & Doğa	sayısal seçenekler	220 volt gerilim altında 4 amper çeken bir aygıtın elektrik gücü kaç wattır?
q27377	Coğrafya	işlem işareti	ISO 3166-1 standardında Fransa için kullanılan iki harfli ülke kodu hangisidir?
q27380	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 132 dörtlük vuruş hızında 12/8 ölçülü 11 ölçülük bölüm yaklaşık kaç saniye sürer?
q27381	Sanat & Edebiyat	aritmetik/ölçü kalıbı: orani nedir; sayısal seçenekler; birden fazla sayı ve ölçü birimi	25 cm genişliğinde ve 55 cm yüksekliğindeki bir tuvalin sadeleştirilmiş en-boy oranı nedir?
q27383	Coğrafya	işlem işareti	ISO 3166-1 standardında Monako için kullanılan iki harfli ülke kodu hangisidir?
q27386	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında Fiji hangi kodla gösterilir?
q27388	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 144 dörtlük vuruş hızında 3/4 ölçülü 10 ölçülük bölüm yaklaşık kaç saniye sürer?
q27390	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında İran hangi kodla gösterilir?
q27391	Bilim & Doğa	sayısal seçenekler	12 volt gerilim 3 ohmluk dirence uygulanırsa akım kaç amper olur?
q27394	Bilim & Doğa	aritmetik/ölçü kalıbı: kac tane; sayısal seçenekler	Çift sarmallı bir DNA parçasında toplam 500 bazın 20 tanesi adenin ise sitozin bazı kaç tanedir?
q27396	Coğrafya	işlem işareti	ISO 3166-1 standardında Madagaskar için kullanılan iki harfli ülke kodu hangisidir?
q27397	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 8 beraberlik ve 7 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27398	Bilim & Doğa	sayısal seçenekler	Atom numarası 12, kütle numarası 26 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27401	Bilim & Doğa	sayısal seçenekler	Atom numarası 74, kütle numarası 156 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27402	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta üçlü 1 ve çift 2 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27404	Bilim & Doğa	aritmetik/ölçü kalıbı: kac tane; sayısal seçenekler	Çift sarmallı bir DNA parçasında toplam 1000 bazın 280 tanesi adenin ise sitozin bazı kaç tanedir?
q27406	Coğrafya	işlem işareti	Slovenya ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27407	Coğrafya	işlem işareti; sayısal seçenekler	ISO 3166-1 sayısal kodlamasında Guatemala hangi kodla gösterilir?
q27410	Bilim & Doğa	sayısal seçenekler	144 volt gerilim 12 ohmluk dirence uygulanırsa akım kaç amper olur?
q27412	Bilim & Doğa	sayısal seçenekler	Atom numarası 18, kütle numarası 36 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27413	Sanat & Edebiyat	aritmetik/ölçü kalıbı: toplam kac, her biri; sayısal seçenekler	Her biri 14 dizeden oluşan 13 adet sone toplam kaç dize içerir?
q27414	Spor	sayısal seçenekler	Bir futbol takımı 1 galibiyet, 0 beraberlik ve 5 yenilgi alırsa üç puanlı sistemde kaç puan toplar?
q27417	Eğlence	sayısal seçenekler	2 adil altı yüzlü zar birlikte atıldığında toplamın 8 olmasını sağlayan kaç sıralı sonuç vardır?
q27418	Coğrafya	işlem işareti	Libya ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27420	Coğrafya	işlem işareti	İzlanda ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27422	Coğrafya	işlem işareti	ISO 3166-1 standardında Kongo - Kinşasa için kullanılan iki harfli ülke kodu hangisidir?
q27423	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 120 dörtlük vuruş hızında 5/4 ölçülü 6 ölçülük bölüm yaklaşık kaç saniye sürer?
q27425	Spor	aritmetik/ölçü kalıbı: toplam kac; sayısal seçenekler	Bir basketbol takımı 6 iki sayılık, 5 üç sayılık ve 4 serbest atış isabeti bulursa toplam kaç sayı üretir?
q27426	Bilim & Doğa	sayısal seçenekler	220 volt gerilim altında 0.5 amper çeken bir aygıtın elektrik gücü kaç wattır?
q27428	Bilim & Doğa	aritmetik/ölçü kalıbı: kac tane; sayısal seçenekler	Çift sarmallı bir DNA parçasında toplam 1000 bazın 40 tanesi adenin ise sitozin bazı kaç tanedir?
q27430	Coğrafya	işlem işareti	Esvatini ülkesinin ISO 3166-1 üç harfli kodu nedir?
q27432	Coğrafya	işlem işareti	ISO 3166-1 standardında Venezuela için kullanılan iki harfli ülke kodu hangisidir?
q27433	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta çift 2 ve tek 4 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27437	Bilim & Doğa	sayısal seçenekler	Atom numarası 8 olan 1- yüklü iyon kaç elektrona sahiptir?
q27438	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta tek 1 ve üçlü 20 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27440	Bilim & Doğa	sayısal seçenekler	Atom numarası 16, kütle numarası 37 olan bir izotopun çekirdeğinde kaç nötron bulunur?
q27441	Spor	aritmetik/ölçü kalıbı: toplam puan; sayısal seçenekler	Dartta çift 2 ve üçlü 12 bölgelerine isabet eden iki okun toplam puanı kaçtır?
q27444	Bilim & Doğa	sayısal seçenekler	180 volt gerilim 10 ohmluk dirence uygulanırsa akım kaç amper olur?
q27445	Eğlence	aritmetik/ölçü kalıbı: dakikada; işlem işareti; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Dakikada 80 dörtlük vuruş hızında 3/4 ölçülü 4 ölçülük bölüm yaklaşık kaç saniye sürer?
q27446	Spor	aritmetik/ölçü kalıbı: kac tam; sayısal seçenekler; birden fazla sayı ve ölçü birimi	Standart 400 metrelik atletizm pistinde 3600 metre koşmak için kaç tam tur gerekir?
