id,categoryIndex,category,recentYear,sourceGroup
q56752,1,Eğlence,2024,recent-games
q56753,2,Tarih,2022,recent-history
q56754,3,Sanat & Edebiyat,2020,recent-literature
q56755,4,Bilim & Doğa,2025,space-missions
q56756,5,Spor,2024,recent-sports
q56757,0,Coğrafya,2025,recent-geography
q56758,1,Eğlence,2020,film-cast
q56759,2,Tarih,2023,recent-history
q56760,3,Sanat & Edebiyat,2022,grammy-general-field
q56761,4,Bilim & Doğa,2023,nobel-science
q56762,5,Spor,2024,recent-sports
q56763,0,Coğrafya,2021,recent-geography
q56764,1,Eğlence,2024,recent-series
q56765,2,Tarih,2023,recent-history
q56766,3,Sanat & Edebiyat,2022,recent-literature
q56767,4,Bilim & Doğa,2024,space-missions
q56768,5,Spor,2022,recent-sports
q56769,0,Coğrafya,2023,recent-geography
q56770,1,Eğlence,2020,recent-games
q56771,2,Tarih,2022,recent-history
q56772,3,Sanat & Edebiyat,2025,grammy-general-field
q56773,4,Bilim & Doğa,2022,space-missions
q56774,5,Spor,2024,recent-sports
q56775,0,Coğrafya,2025,recent-geography
q56776,1,Eğlence,2022,recent-games
q56777,2,Tarih,2023,recent-history
q56778,3,Sanat & Edebiyat,2024,recent-literature
q56779,4,Bilim & Doğa,2021,space-missions
q56780,5,Spor,2022,recent-sports
q56781,0,Coğrafya,2024,recent-geography
q56782,1,Eğlence,2024,oscars-film
q56783,2,Tarih,2025,recent-history
q56784,3,Sanat & Edebiyat,2022,recent-literature
q56785,4,Bilim & Doğa,2020,nobel-science
q56786,5,Spor,2020,recent-sports
q56787,0,Coğrafya,2023,recent-geography
q56788,1,Eğlence,2023,film-cast
q56789,2,Tarih,2020,recent-history
q56790,3,Sanat & Edebiyat,2025,grammy-general-field
q56791,4,Bilim & Doğa,2021,nobel-science
q56792,5,Spor,2021,recent-sports
q56793,0,Coğrafya,2021,recent-geography
q56794,1,Eğlence,2020,recent-games
q56795,2,Tarih,2022,recent-history
q56796,3,Sanat & Edebiyat,2024,recent-literature
q56797,4,Bilim & Doğa,2020,science-milestones
q56798,5,Spor,2021,recent-sports
q56799,0,Coğrafya,2024,recent-geography
q56800,1,Eğlence,2021,oscars-film
q56801,2,Tarih,2024,recent-history
q56802,3,Sanat & Edebiyat,2024,recent-literature
q56803,4,Bilim & Doğa,2023,space-missions
q56804,5,Spor,2021,recent-sports
q56805,0,Coğrafya,2025,recent-geography
q56806,1,Eğlence,2022,oscars-film
q56807,2,Tarih,2022,recent-history
q56808,3,Sanat & Edebiyat,2025,grammy-general-field
q56809,4,Bilim & Doğa,2021,nobel-science
q56810,5,Spor,2021,recent-sports
q56811,0,Coğrafya,2020,recent-geography
q56812,1,Eğlence,2022,oscars-film
q56813,2,Tarih,2025,recent-history
q56814,3,Sanat & Edebiyat,2023,recent-literature
q56815,4,Bilim & Doğa,2023,nobel-science
q56816,5,Spor,2024,recent-sports
q56817,0,Coğrafya,2023,recent-geography
q56818,1,Eğlence,2025,oscars-film
q56819,2,Tarih,2023,recent-history
q56820,3,Sanat & Edebiyat,2023,grammy-general-field
q56821,4,Bilim & Doğa,2022,space-missions
q56822,5,Spor,2025,recent-sports
q56823,0,Coğrafya,2022,recent-geography
q56824,1,Eğlence,2022,recent-series
q56825,2,Tarih,2023,recent-history
q56826,3,Sanat & Edebiyat,2025,recent-literature
q56827,4,Bilim & Doğa,2024,space-missions
q56828,5,Spor,2021,recent-sports
q56829,0,Coğrafya,2021,recent-geography
q56830,1,Eğlence,2023,oscars-film
q56831,2,Tarih,2021,recent-history
q56832,3,Sanat & Edebiyat,2026,grammy-general-field
q56833,4,Bilim & Doğa,2023,space-missions
q56834,5,Spor,2021,recent-sports
q56835,0,Coğrafya,2022,recent-geography
q56836,1,Eğlence,2023,recent-series
q56837,2,Tarih,2022,recent-history
q56838,3,Sanat & Edebiyat,2025,recent-literature
q56839,4,Bilim & Doğa,2023,nobel-science
q56840,5,Spor,2024,recent-sports
q56841,0,Coğrafya,2025,recent-geography
q56842,1,Eğlence,2022,oscars-film
q56843,2,Tarih,2025,recent-history
q56844,3,Sanat & Edebiyat,2024,recent-literature
q56845,4,Bilim & Doğa,2025,space-missions
q56846,5,Spor,2021,recent-sports
q56847,0,Coğrafya,2021,recent-geography
q56848,1,Eğlence,2023,oscars-film
q56849,2,Tarih,2022,recent-history
q56850,3,Sanat & Edebiyat,2020,recent-literature
q56851,4,Bilim & Doğa,2020,space-missions
q56852,5,Spor,2024,recent-sports
q56853,0,Coğrafya,2023,recent-geography
q56854,1,Eğlence,2020,oscars-film
q56855,2,Tarih,2024,recent-history
q56856,3,Sanat & Edebiyat,2020,recent-literature
q56857,4,Bilim & Doğa,2021,space-missions
q56858,5,Spor,2024,recent-sports
q56859,0,Coğrafya,2024,recent-geography
q56860,1,Eğlence,2022,oscars-film
q56861,2,Tarih,2025,recent-history
q56862,3,Sanat & Edebiyat,2026,grammy-general-field
q56863,4,Bilim & Doğa,2023,nobel-science
q56864,5,Spor,2022,recent-sports
q56865,0,Coğrafya,2023,recent-geography
q56866,1,Eğlence,2021,recent-games
q56867,2,Tarih,2021,recent-history
q56868,3,Sanat & Edebiyat,2022,grammy-general-field
q56869,4,Bilim & Doğa,2023,space-missions
q56870,5,Spor,2022,recent-sports
q56871,0,Coğrafya,2021,recent-geography
q56872,1,Eğlence,2024,recent-series
q56873,2,Tarih,2025,recent-history
q56874,3,Sanat & Edebiyat,2023,grammy-general-field
q56875,4,Bilim & Doğa,2024,space-missions
q56876,5,Spor,2021,recent-sports
q56877,0,Coğrafya,2023,recent-geography
q56878,1,Eğlence,2024,oscars-film
q56879,2,Tarih,2021,recent-history
q56880,3,Sanat & Edebiyat,2025,recent-literature
q56881,4,Bilim & Doğa,2024,space-missions
q56882,5,Spor,2022,recent-sports
q56883,0,Coğrafya,2020,recent-geography
q56884,1,Eğlence,2024,recent-series
q56885,2,Tarih,2025,recent-history
q56886,3,Sanat & Edebiyat,2024,grammy-general-field
q56887,4,Bilim & Doğa,2020,nobel-science
q56888,5,Spor,2021,recent-sports
q56889,0,Coğrafya,2021,recent-geography
q56890,1,Eğlence,2022,recent-series
q56891,2,Tarih,2024,recent-history
q56892,3,Sanat & Edebiyat,2026,grammy-general-field
q56893,4,Bilim & Doğa,2025,space-missions
q56894,5,Spor,2023,recent-sports
q56895,0,Coğrafya,2024,recent-geography
q56896,1,Eğlence,2023,recent-games
q56897,2,Tarih,2022,recent-history
q56898,3,Sanat & Edebiyat,2023,recent-literature
q56899,4,Bilim & Doğa,2024,science-milestones
q56900,5,Spor,2024,recent-sports
q56901,1,Eğlence,2023,oscars-film
q56902,3,Sanat & Edebiyat,2022,grammy-general-field
q56903,4,Bilim & Doğa,2023,space-missions
q56904,5,Spor,2024,recent-sports
q56905,1,Eğlence,2024,recent-series
q56906,3,Sanat & Edebiyat,2022,recent-literature
q56907,4,Bilim & Doğa,2023,nobel-science
q56908,5,Spor,2023,recent-sports
q56909,1,Eğlence,2021,recent-series
q56910,3,Sanat & Edebiyat,2024,grammy-general-field
q56911,4,Bilim & Doğa,2021,space-missions
q56912,5,Spor,2024,recent-sports
q56913,1,Eğlence,2020,recent-games
q56914,3,Sanat & Edebiyat,2024,recent-literature
q56915,4,Bilim & Doğa,2021,nobel-science
q56916,5,Spor,2024,recent-sports
q56917,1,Eğlence,2024,oscars-film
q56918,3,Sanat & Edebiyat,2023,grammy-general-field
q56919,4,Bilim & Doğa,2023,nobel-science
q56920,5,Spor,2021,recent-sports
q56921,1,Eğlence,2023,recent-games
q56922,3,Sanat & Edebiyat,2025,grammy-general-field
q56923,4,Bilim & Doğa,2025,space-missions
q56924,5,Spor,2024,recent-sports
q56925,1,Eğlence,2022,recent-series
q56926,3,Sanat & Edebiyat,2022,grammy-general-field
q56927,4,Bilim & Doğa,2024,science-milestones
q56928,5,Spor,2021,recent-sports
q56929,1,Eğlence,2020,recent-games
q56930,3,Sanat & Edebiyat,2022,grammy-general-field
q56931,4,Bilim & Doğa,2024,space-missions
q56932,5,Spor,2021,recent-sports
q56933,1,Eğlence,2024,oscars-2025
q56934,3,Sanat & Edebiyat,2024,nobel-literature
q56935,4,Bilim & Doğa,2023,space-missions
q56936,5,Spor,2024,recent-sports
q56937,1,Eğlence,2022,oscars-film
q56938,3,Sanat & Edebiyat,2023,grammy-general-field
q56939,4,Bilim & Doğa,2021,nobel-science
q56940,5,Spor,2021,recent-sports
q56941,1,Eğlence,2020,film-cast
q56942,3,Sanat & Edebiyat,2025,recent-literature
q56943,4,Bilim & Doğa,2023,space-missions
q56944,5,Spor,2024,recent-sports
q56945,1,Eğlence,2024,oscars-film
q56946,3,Sanat & Edebiyat,2022,recent-literature
q56947,4,Bilim & Doğa,2023,space-missions
q56948,5,Spor,2024,recent-sports
q56949,1,Eğlence,2023,recent-series
q56950,3,Sanat & Edebiyat,2025,recent-literature
q56951,4,Bilim & Doğa,2022,space-missions
q56952,5,Spor,2022,recent-sports
q56953,1,Eğlence,2024,oscars-film
q56954,3,Sanat & Edebiyat,2024,grammy-general-field
q56955,4,Bilim & Doğa,2024,nobel-science
q56956,5,Spor,2023,recent-sports
q56957,1,Eğlence,2021,recent-games
q56958,3,Sanat & Edebiyat,2025,recent-literature
q56959,4,Bilim & Doğa,2021,space-missions
q56960,5,Spor,2023,recent-sports
q56961,1,Eğlence,2022,recent-games
q56962,3,Sanat & Edebiyat,2020,recent-literature
q56963,4,Bilim & Doğa,2024,space-missions
q56964,5,Spor,2024,recent-sports
q56965,1,Eğlence,2024,recent-games
q56966,3,Sanat & Edebiyat,2025,grammy-general-field
q56967,4,Bilim & Doğa,2023,space-missions
q56968,5,Spor,2023,recent-sports
q56969,1,Eğlence,2022,recent-series
q56970,3,Sanat & Edebiyat,2023,grammy-general-field
q56971,4,Bilim & Doğa,2021,space-missions
q56972,5,Spor,2025,recent-sports
q56973,1,Eğlence,2024,recent-games
q56974,3,Sanat & Edebiyat,2026,grammy-general-field
q56975,4,Bilim & Doğa,2021,space-missions
q56976,5,Spor,2021,recent-sports
q56977,1,Eğlence,2024,recent-series
q56978,3,Sanat & Edebiyat,2022,grammy-general-field
q56979,4,Bilim & Doğa,2023,space-missions
q56980,5,Spor,2021,recent-sports
q56981,1,Eğlence,2022,oscars-film
q56982,3,Sanat & Edebiyat,2024,grammy-general-field
q56983,4,Bilim & Doğa,2025,space-missions
q56984,5,Spor,2022,recent-sports
q56985,1,Eğlence,2024,recent-games
q56986,3,Sanat & Edebiyat,2026,grammy-general-field
q56987,4,Bilim & Doğa,2024,space-missions
q56988,5,Spor,2022,recent-sports
q56989,1,Eğlence,2024,recent-series
q56990,3,Sanat & Edebiyat,2023,grammy-general-field
q56991,4,Bilim & Doğa,2020,nobel-science
q56992,5,Spor,2022,recent-sports
q56993,1,Eğlence,2020,recent-games
q56994,3,Sanat & Edebiyat,2021,recent-literature
q56995,4,Bilim & Doğa,2022,space-missions
q56996,5,Spor,2021,recent-sports
q56997,1,Eğlence,2023,recent-games
q56998,3,Sanat & Edebiyat,2025,recent-literature
q56999,4,Bilim & Doğa,2020,nobel-science
q57000,5,Spor,2021,recent-sports
q57001,1,Eğlence,2021,recent-games
q57002,3,Sanat & Edebiyat,2025,recent-literature
q57003,4,Bilim & Doğa,2020,nobel-science
q57004,5,Spor,2022,recent-sports
q57005,1,Eğlence,2021,recent-games
q57006,3,Sanat & Edebiyat,2025,grammy-general-field
q57007,4,Bilim & Doğa,2024,nobel-science
q57008,5,Spor,2020,recent-sports
q57009,1,Eğlence,2022,recent-games
q57010,3,Sanat & Edebiyat,2023,recent-literature
q57011,4,Bilim & Doğa,2023,space-missions
q57012,5,Spor,2021,recent-sports
q57013,1,Eğlence,2024,oscars-film
q57014,3,Sanat & Edebiyat,2022,recent-literature
q57015,4,Bilim & Doğa,2022,space-missions
q57016,5,Spor,2022,recent-sports
q57017,1,Eğlence,2024,recent-series
q57018,3,Sanat & Edebiyat,2023,grammy-general-field
q57019,4,Bilim & Doğa,2021,space-missions
q57020,5,Spor,2024,recent-sports
q57021,1,Eğlence,2022,recent-series
q57022,4,Bilim & Doğa,2022,space-missions
q57023,5,Spor,2022,recent-sports
q57024,1,Eğlence,2021,film-cast
q57025,4,Bilim & Doğa,2025,space-missions
q57026,5,Spor,2020,recent-sports
q57027,1,Eğlence,2024,recent-games
q57028,4,Bilim & Doğa,2023,space-missions
q57029,5,Spor,2022,recent-sports
q57030,1,Eğlence,2023,recent-series
q57031,4,Bilim & Doğa,2020,science-milestones
q57032,5,Spor,2022,recent-sports
q57033,1,Eğlence,2022,recent-games
q57034,4,Bilim & Doğa,2021,space-missions
q57035,5,Spor,2023,recent-sports
q57036,1,Eğlence,2025,oscars-film
q57037,4,Bilim & Doğa,2024,space-missions
q57038,5,Spor,2021,recent-sports
q57039,1,Eğlence,2024,oscars-film
q57040,4,Bilim & Doğa,2024,space-missions
q57041,5,Spor,2022,recent-sports
q57042,1,Eğlence,2023,oscars-film
q57043,4,Bilim & Doğa,2024,space-missions
q57044,5,Spor,2024,recent-sports
q57045,1,Eğlence,2021,oscars-film
q57046,4,Bilim & Doğa,2021,space-missions
q57047,5,Spor,2022,recent-sports
q57048,1,Eğlence,2021,recent-series
q57049,4,Bilim & Doğa,2025,space-missions
q57050,5,Spor,2024,recent-sports
q57051,1,Eğlence,2022,recent-series
q57052,4,Bilim & Doğa,2024,space-missions
q57053,5,Spor,2023,recent-sports
q57054,1,Eğlence,2021,recent-series
q57055,4,Bilim & Doğa,2021,space-missions
q57056,5,Spor,2023,recent-sports
q57057,1,Eğlence,2024,recent-games
q57058,4,Bilim & Doğa,2025,space-missions
q57059,5,Spor,2021,recent-sports
q57060,1,Eğlence,2021,recent-series
q57061,4,Bilim & Doğa,2025,space-missions
q57062,5,Spor,2021,recent-sports
q57063,1,Eğlence,2021,oscars-film
q57064,4,Bilim & Doğa,2023,nobel-science
q57065,5,Spor,2023,recent-sports
q57066,1,Eğlence,2022,film-cast
q57067,4,Bilim & Doğa,2024,nobel-science
q57068,5,Spor,2023,recent-sports
q57069,1,Eğlence,2024,recent-games
q57070,4,Bilim & Doğa,2020,science-milestones
q57071,5,Spor,2020,recent-sports
q57072,1,Eğlence,2025,film-cast
q57073,4,Bilim & Doğa,2023,nobel-science
q57074,5,Spor,2024,recent-sports
q57075,1,Eğlence,2020,recent-games
q57076,4,Bilim & Doğa,2021,space-missions
q57077,5,Spor,2020,recent-sports
q57078,1,Eğlence,2021,oscars-film
q57079,4,Bilim & Doğa,2024,nobel-science
q57080,5,Spor,2021,recent-sports
q57081,1,Eğlence,2024,recent-games
q57082,5,Spor,2023,recent-sports
q57083,1,Eğlence,2021,recent-games
q57084,5,Spor,2022,recent-sports
q57085,1,Eğlence,2024,recent-series
q57086,5,Spor,2021,recent-sports
q57087,1,Eğlence,2020,recent-games
q57088,5,Spor,2023,recent-sports
q57089,1,Eğlence,2022,recent-games
q57090,5,Spor,2024,recent-sports
q57091,1,Eğlence,2023,recent-games
q57092,5,Spor,2024,recent-sports
q57093,1,Eğlence,2024,recent-series
q57094,5,Spor,2020,recent-sports
q57095,1,Eğlence,2024,film-cast
q57096,5,Spor,2024,recent-sports
q57097,1,Eğlence,2023,oscars-film
q57098,5,Spor,2025,recent-sports
q57099,1,Eğlence,2020,film-cast
q57100,5,Spor,2024,recent-sports
q57101,1,Eğlence,2021,recent-series
q57102,5,Spor,2023,recent-sports
q57103,1,Eğlence,2021,oscars-film
q57104,5,Spor,2020,recent-sports
q57105,1,Eğlence,2022,recent-series
q57106,5,Spor,2025,recent-sports
q57107,1,Eğlence,2022,recent-series
q57108,5,Spor,2022,recent-sports
q57109,1,Eğlence,2024,recent-series
q57110,5,Spor,2022,recent-sports
q57111,1,Eğlence,2025,oscars-film
q57112,5,Spor,2024,recent-sports
q57113,1,Eğlence,2020,recent-games
q57114,5,Spor,2023,recent-sports
q57115,1,Eğlence,2020,oscars-film
q57116,5,Spor,2022,recent-sports
q57117,1,Eğlence,2021,recent-series
q57118,5,Spor,2023,recent-sports
q57119,1,Eğlence,2025,oscars-film
q57120,5,Spor,2024,recent-sports
